"","AcadYr","AcadTerm","DepartmentNameByCourseCode","Course number","CourseCode","SectionNumber","CourseTitle","ClassType","Instructor1Name","GradeACount","GradeBCount","GradeCCount","GradeDCount","GradeFCount","GradePCount","GradeNPCount","GradeWCount"
"103","2010-11","Fall","Biological Sciences",118,6025,"6","EXP MICROBIO LAB","LAB","Senear D.",3,14,3,0,0,0,0,0
"104","2010-11","Fall","Biological Sciences",118,6030,"7","EXP MICROBIO LAB","LAB","Senear D.",4,14,2,0,0,0,0,0
"105","2010-11","Fall","Biological Sciences",118,6035,"8","EXP MICROBIO LAB","LAB","Senear D.",6,11,2,1,0,0,0,0
"106","2010-11","Fall","Biological Sciences",120,6040,"A","SIG TRANS MAM CELLS","LEC","Walsh C.",20,13,2,0,0,0,0,0
"107","2010-11","Fall","Biological Sciences",122,6050,"A","GENERAL MICROBIOL","LEC","Ribbe M.",64,170,104,22,1,0,0,0
"108","2010-11","Fall","Biological Sciences",124,6060,"A","VIROLOGY","LEC","Villarreal L.",41,40,71,4,2,0,1,0
"109","2010-11","Fall","Biological Sciences",130,5560,"A","PHOTOMEDICINE","LEC","Berns M.",5,14,9,0,0,0,0,0
"110","2010-11","Fall","Biological Sciences",133,6070,"A","RES STRU NMR XRAY","LEC","Mcpherson A.",6,7,0,1,0,0,0,0
"111","2010-11","Fall","Biological Sciences",136,5870,"A","HUMAN NUTRITION","LEC","Bradley T.",66,172,63,10,2,0,0,0
"112","2010-11","Fall","Biological Sciences",137,5580,"A","EUKARY & HUM GENET","LEC","Marsh J.",25,47,11,0,1,0,0,0
"113","2010-11","Fall","Biological Sciences",147,6210,"A","HEARING & THE BRAIN","LEC","Weinberger N.",14,20,4,0,0,0,0,0
"114","2010-11","Fall","Biological Sciences",152,6211,"A","DEVELOPMENTAL NEURO","LEC","Cohen-Cory S.",18,54,34,5,1,1,1,0
"115","2010-11","Fall","Biological Sciences",158,6220,"A","NEUROBIO LRN/MEMORY","LEC","Cahill L.",18,41,30,11,3,0,1,0
"116","2010-11","Fall","Biological Sciences",159,6230,"A","ANIMAL BEHAVIOR","LEC","Striedter G.",12,11,1,0,0,0,0,0
"117","2010-11","Fall","Biological Sciences",165,6233,"A","BRAIN DISORDERS","LEC","Brewer A.",52,23,4,0,0,0,0,0
"118","2010-11","Fall","Biological Sciences",166,5890,"A","FIELD METHD ECOLOGY","LAB","Treseder K.",6,9,1,0,1,0,0,0
"119","2010-11","Fall","Biological Sciences",182,6235,"A","VISION","LEC","Sperling G.",17,12,15,3,0,0,0,0
"120","2010-11","Fall","Biological Sciences",186,5900,"A","POPULATN & COMM ECO","LEC","Hawkins B.",5,6,3,3,0,0,0,0
"121","2010-11","Fall","Biological Sciences",190,6240,"A","AGING AND DEMENTIA","LEC","Corrada-Bravo M.",16,7,1,0,0,0,0,0
"122","2010-11","Fall","Biological Sciences",190,6300,"A","TRANSFER STUDNT SEM","SEM","Leon M.",0,0,0,0,0,49,0,0
"123","2010-11","Fall","Biological Sciences",190,6302,"B","TRANSFER STUDNT SEM","SEM","Leon M.",0,0,0,0,0,39,1,0
"124","2010-11","Fall","Biological Sciences",192,6310,"A","TUTORING IN BIOLOGY","TUT","Berkelhamer R.",18,0,0,0,0,0,0,0
"125","2010-11","Fall","Biological Sciences",194,6320,"A","SAFETY AND ETHICS","LEC","Leon M.",0,0,0,0,0,392,7,0
"126","2010-11","Fall","Biological Sciences",194,6322,"B","SAFETY AND ETHICS","LEC","Leon M.",0,0,0,0,0,185,10,1
"127","2010-11","Fall","Biological Sciences",197,6344,"44","MSP RES SEMINAR","RES","Ayala F.",0,0,0,0,0,42,0,0
"128","2010-11","Fall","Biological Sciences",198,6370,"70","DIRECTED GROUP STDS","RES","Rose M.",134,1,0,0,0,0,0,1
"129","2010-11","Fall","Biological Sciences",198,6373,"73","DIRECTED GROUP STDS","RES","Mueller L.",28,0,0,0,0,0,0,0
"130","2010-11","Fall","Biological Sciences",199,6442,"42","PHARMACOLOGY","RES","Belluzzi J.",10,0,0,0,0,0,0,0
"131","2010-11","Fall","Biological Sciences",199,6532,"32","IG GENE EXPRESSION","RES","Casali P.",12,0,0,0,0,0,0,0
"132","2010-11","Fall","Biological Sciences",199,6619,"19","DYNAMIC BRAIN REORG","RES","Frostig R.",11,0,0,0,0,0,0,0
"133","2010-11","Fall","Biological Sciences",199,6747,"47","SPINAL CORD REGEN","RES","Keirstead H.",12,0,0,0,0,0,0,0
"134","2010-11","Fall","Biological Sciences",199,6804,"4","MEDICINE","RES","Longhurst J.",27,0,0,0,0,0,0,0
"135","2010-11","Fall","Biological Sciences",199,6891,"91","COMMUNITY ECOLOGY","RES","Mooney K.",17,0,0,0,0,0,0,0
"136","2010-11","Fall","Biological Sciences",199,6900,"0","EVOLUTIONARY ECOL","RES","Mueller L.",16,0,0,0,0,0,0,0
"137","2010-11","Fall","Biological Sciences",199,6903,"3","IMAGE AGT","RES","Mukherjee J.",13,1,0,0,0,0,0,0
"138","2010-11","Fall","Biological Sciences",199,6949,"49","PHARMACOLOGY","RES","Piomelli D.",12,0,0,0,0,0,0,0
